variant,seed,n_images,dice_mean,dice_ci95,iou_mean,iou_ci95,hd95_mean,hd95_ci95
both_concat,42,100,0.7255224822824813,0.05150844502229969,0.6236121981814142,0.053135278715212675,50.98773733564715,10.685894212100402
full_no_hd_loss,42,100,0.7117410291833783,0.05408989842537545,0.6105019936349259,0.05462728873091226,53.35962442634243,11.975655845402525
full,42,100,0.7205321736354926,0.050438089237311336,0.6148645017158489,0.051903970006187496,49.412336251833906,10.794315886289914
res2net_only,42,100,0.7095152819585135,0.05037147942986343,0.6010029136769299,0.051711767377455344,53.50066999545513,11.28144378539706
