variant,n_seeds,dice_mean,dice_seed_ci95,iou_mean,iou_seed_ci95,hd95_mean,hd95_seed_ci95
both_concat,1,0.7255224822824813,0.0,0.6236121981814142,0.0,50.98773733564715,0.0
full,1,0.7205321736354926,0.0,0.6148645017158489,0.0,49.412336251833906,0.0
full_no_hd_loss,1,0.7117410291833783,0.0,0.6105019936349259,0.0,53.35962442634243,0.0
res2net_only,1,0.7095152819585135,0.0,0.6010029136769299,0.0,53.50066999545513,0.0
